\fixlen = T
\RowsRetrieved = 154
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-05-07 00:35:02'
\DataTag = 'ADS/IRSA.Gator#2019/0507/003502_31569'
\DATABASE = 'SWIRE ELAIS N1 Region 160um Spring '05 Spitzer Catalog (elaisn1_160_cat_s05)'
\EQUINOX = 'J2000'
\SKYAREA = 'box with center (242.51300,+54.57359) and length 6235.99 arcsec.'
\StatusFile = '/workspace/TMP_FbExUm_31569/Gator/irsa/31569/log.31569.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (11 column names follow in next row.)'
\ 
\ 
\ cntr
\ ___ entry counter (key) number (unique within table)
\ object
\ ___ object name designation
\ ra (deg)
\ ___ right ascension (J2000 decimal deg)
\ dec (deg)
\ ___ declination (J2000 decimal deg)
\ clon
\ ___ Right ascention in Sexagesimal format.
\ clat
\ ___ Declination in Sexagesimal format.
\ unc_ra (arcsec)
\ ___ position uncertainty in RA
\ unc_dec (arcsec)
\ ___ position uncertainty in Dec
\ unc_rd (arcsec)
\ ___ covariance position uncertainty
\ flux_prf (mjy)
\ ___ point-response-function flux
\ uncf_prf (mjy)
\ ___ point-response-function flux uncertainty
\ flux_ap3 (mjy)
\ ___ flux for aperture #3 (r=60.0")
\ flag
\ ___ extraction notes and flags
\ 
\
|cntr|object                   |ra        |dec      |clon        |clat        |unc_ra  |unc_dec |unc_rd   |flux_prf|uncf_prf|flux_ap3|flag|
|int |char                     |double    |double   |char        |char        |double  |double  |double   |double  |double  |double  |char|
|    |                         |deg       |deg      |            |            |arcsec  |arcsec  |arcsec   |mjy     |mjy     |mjy     |    |
|null|null                     |null      |null     |null        |null        |null    |null    |null     |null    |null    |null    |null|
  145 SWIRE2_160_J160944+534941 242.434067 53.828270 16h09m44.18s 53d49m41.77s 5.69e+00 5.87e+00  1.99e+00   154.44     8.37   109.09 1    
  345 SWIRE2_160_J160545+550112 241.440857 55.020229 16h05m45.81s 55d01m12.82s 5.98e+00 5.44e+00 -1.30e+00   111.50     6.38   117.94 1    
  561 SWIRE2_160_J161603+544746 244.014954 54.796341 16h16m03.59s 54d47m46.83s 5.11e+00 5.76e+00  1.51e-01   126.36     6.54   111.69 1    
  105 SWIRE2_160_J160553+540646 241.471115 54.112915 16h05m53.07s 54d06m46.49s 8.78e-01 8.46e-01  2.12e-01   891.54     8.12   792.21 1    
  289 SWIRE2_160_J161426+535556 243.611313 53.932228 16h14m26.72s 53d55m56.02s 2.67e+00 2.43e+00 -7.42e-01   224.64     5.81   243.48 1    
  521 SWIRE2_160_J161045+551329 242.691605 55.224823 16h10m45.99s 55d13m29.36s 5.11e+00 5.08e+00 -1.04e+00   124.02     6.34   206.62 1    
  115 SWIRE2_160_J160737+535729 241.904480 53.958225 16h07m37.08s 53d57m29.61s 1.17e+00 1.09e+00 -1.66e-01   628.29     7.96   581.61 1    
  298 SWIRE2_160_J160928+542829 242.370285 54.474724 16h09m28.87s 54d28m29.01s 3.64e+00 3.85e+00  9.50e-01   152.10     5.44   100.55 1    
  285 SWIRE2_160_J161547+534547 243.949875 53.763248 16h15m47.97s 53d45m47.69s 3.30e+00 3.21e+00 -1.22e+00   200.07     6.49   116.51 1    
  439 SWIRE2_160_J160720+551529 241.837204 55.258270 16h07m20.93s 55d15m29.77s 4.10e+00 3.82e+00 -1.38e+00   131.04     5.00   236.81 1    
  280 SWIRE2_160_J160408+545803 241.036789 54.967522 16h04m08.83s 54d58m03.08s 2.17e+00 2.07e+00  6.12e-01   335.79     7.84   443.43 3    
  129 SWIRE2_160_J160657+540321 241.741455 54.055931 16h06m57.95s 54d03m21.35s 5.65e+00 5.15e+00  2.31e+00   112.44     6.43    58.55 1    
  529 SWIRE2_160_J160851+552610 242.212509 55.436192 16h08m51.00s 55d26m10.29s 3.45e+00 3.27e+00  4.10e-01   218.79     7.29   181.82 1    
  355 SWIRE2_160_J160850+544422 242.211319 54.739574 16h08m50.72s 54d44m22.47s 3.48e+00 3.41e+00  7.63e-01   152.10     4.89   103.86 1    
  587 SWIRE2_160_J161411+550344 243.547226 55.062340 16h14m11.33s 55d03m44.42s 3.85e+00 3.59e+00  1.67e+00   149.76     5.43   202.76 1    
  322 SWIRE2_160_J161235+541547 243.147217 54.263309 16h12m35.33s 54d15m47.91s 2.19e+00 2.14e+00  5.26e-01   251.55     5.32   273.78 1    
  546 SWIRE2_160_J161143+551343 242.931168 55.228805 16h11m43.48s 55d13m43.70s 4.68e+00 4.64e+00 -4.97e-01   113.72     4.88   198.43 1    
  548 SWIRE2_160_J161045+551744 242.688675 55.295757 16h10m45.28s 55d17m44.73s 4.57e+00 4.21e+00  2.02e+00   140.40     6.46    32.68 1    
